Timestamp,Real,Imaginary
2281 ns,741768,668615
2282 ns,-553079,94911
2283 ns,1.62562e+06,-199978
2284 ns,1.77129e+06,1.59682e+06
2285 ns,125769,211334
2286 ns,1.07058e+06,330957
2287 ns,584240,-1.03509e+06
2288 ns,9467,-36905
2289 ns,-907206,-798914
2290 ns,-228060,879148
2291 ns,954804,-67486
2292 ns,747402,-566650
2293 ns,148945,11187
2294 ns,445823,-198370
2295 ns,-1.23431e+06,-1.74064e+06
2296 ns,1.57744e+06,1.07346e+06
2297 ns,1.35647e+06,-642572
2298 ns,846149,66105
2299 ns,844252,-1.10947e+06
2300 ns,-1.00216e+06,-1.1795e+06
2301 ns,-359154,159690
2302 ns,309108,430275
2303 ns,1.79793e+06,-422643
2304 ns,-336726,341890
2305 ns,1.29224e+06,-24240
2306 ns,541119,1.23782e+06
2307 ns,-1.00919e+06,1.21304e+06
2308 ns,359104,-712581
2309 ns,166373,-1.69043e+06
2310 ns,1.36572e+06,485996
2311 ns,751309,713198
2312 ns,358076,-664755
2313 ns,-27240,-65626
2314 ns,-494528,26092
2315 ns,-37522,285286
2316 ns,-2.05151e+06,-1.26353e+06
2317 ns,280816,1.12972e+06
2318 ns,685530,-1.08491e+06
2319 ns,-1.39306e+06,417622
2320 ns,-802026,1.16216e+06
2321 ns,-683090,439233
2322 ns,196186,1.0042e+06
2323 ns,1.40852e+06,-530650
2324 ns,725680,-977277
2325 ns,691177,-726178
2326 ns,-579378,-1.49893e+06
2327 ns,1.10158e+06,-463159
2328 ns,550189,1.01383e+06
2329 ns,-594608,654498
2330 ns,458401,187206
2331 ns,-985775,581376
2332 ns,46425,356982
2333 ns,147241,-981842
2336 ns,977388,-760579
2337 ns,-441823,273730
2338 ns,366284,-49273
2339 ns,-747590,1.77919e+06
2340 ns,-561959,-1.01719e+06
2341 ns,-608089,452937
2342 ns,-1.01348e+06,-109298
2343 ns,295581,535325
2344 ns,1.36881e+06,775799
2345 ns,-253203,-566776
2346 ns,1.38521e+06,160608
2347 ns,-159396,-173207
2348 ns,560898,615477
2349 ns,-1.67635e+06,1.40607e+06
2350 ns,1.40726e+06,-1.54113e+06
2351 ns,-954268,142442
2352 ns,824575,-658808
2353 ns,1.54512e+06,-388058
2354 ns,122685,1.09435e+06
2355 ns,-1.63112e+06,-816534
2356 ns,-783065,-373216
2357 ns,-691991,869435
2358 ns,1.13174e+06,-107296
2359 ns,-111106,-406797
2360 ns,47081,-132846
2361 ns,844278,939796
2362 ns,-511662,518432
2363 ns,-200676,347506
2364 ns,1.45853e+06,-437560
2365 ns,-577390,-54606
2366 ns,-1.59081e+06,-675112
2367 ns,322706,-295132
2368 ns,949514,-178804
2369 ns,-8392,-118279
2370 ns,-834057,787660
2371 ns,1.49238e+06,-281541
2372 ns,-859924,-194688
2373 ns,-1.81395e+06,174954
2374 ns,-506288,-711621
2375 ns,-494672,-188704
2376 ns,-1.13568e+06,1.09114e+06
2377 ns,1.05937e+06,860829
2378 ns,1.30115e+06,-170526
2379 ns,-377277,504891
2380 ns,1.05328e+06,1.85773e+06
2381 ns,1.44364e+06,609490
2382 ns,1.45998e+06,-1.13412e+06
2383 ns,-538686,349908
2384 ns,545851,-56801
2385 ns,755392,-1.01622e+06
2386 ns,129144,-1.91254e+06
2387 ns,-363606,322881
2388 ns,1.46018e+06,572402
2389 ns,-786552,-134943
2390 ns,303090,-210353
2391 ns,1.58156e+06,2.42086e+06
2392 ns,1.7929e+06,-119284
2393 ns,-62172,-193974
2394 ns,-1.14638e+06,14610
2395 ns,-1.28773e+06,-10091
2396 ns,822881,992535
2397 ns,-1.34501e+06,-301760
2398 ns,-665750,292083
2399 ns,-1.05895e+06,-255219
2400 ns,-82637,1.28527e+06
2401 ns,-640112,-696526
2402 ns,1.23359e+06,828346
2403 ns,-1.26105e+06,-679019
2404 ns,-78105,-170512
2405 ns,-553609,-839590
2406 ns,572212,994163
2407 ns,33160,-730643
2408 ns,-504484,-1.15726e+06
2409 ns,190660,-1.10106e+06
2410 ns,1.37705e+06,608887
2411 ns,-522780,718857
2412 ns,-440830,1.89166e+06
2413 ns,3295,309175
2414 ns,855368,-578970
2415 ns,76322,-454246
2416 ns,-405838,-131230
2417 ns,-324112,354580
2418 ns,525974,-183866
2419 ns,-1.1005e+06,1.10554e+06
2420 ns,1.35847e+06,-578461
2421 ns,601050,-731936
2422 ns,231984,-1.21181e+06
2423 ns,-31108,-692155
2424 ns,1.27719e+06,-1.85802e+06
2425 ns,-463514,-194612
2426 ns,1.38855e+06,-92749
2427 ns,-642952,763252
2428 ns,-582483,-90492
2429 ns,1.77168e+06,-449236
2430 ns,321836,-49216
2431 ns,1.12456e+06,-87611
2432 ns,-235483,151637
2433 ns,1.23978e+06,-454669
2434 ns,1.38292e+06,-285437
2435 ns,568657,513552
2436 ns,38342,1.38913e+06
2437 ns,389692,279947
2438 ns,1.13324e+06,-174948
2439 ns,-1.45531e+06,-260719
2440 ns,369862,965676
2441 ns,-512415,946147
2442 ns,802408,-1.18732e+06
2443 ns,-1.70409e+06,97205
2444 ns,329303,2.37887e+06
2445 ns,704593,-211044
2446 ns,-376775,809354
2447 ns,1.29195e+06,409934
2448 ns,209950,-1.33433e+06
2449 ns,-174195,-218266
2450 ns,-248397,915517
2451 ns,856241,188031
2452 ns,-128543,-1.45708e+06
2453 ns,-446472,535443
2454 ns,-1.05009e+06,1.18976e+06
2455 ns,629391,-423558
2456 ns,-756129,802898
2457 ns,-2.3863e+06,-343970
2458 ns,-1.17429e+06,-1.04206e+06
2459 ns,1.33375e+06,847364
2460 ns,101300,-980220
2461 ns,-434695,-705119
2462 ns,871833,-281245
2463 ns,1.20882e+06,839118
2464 ns,1.19271e+06,-1.31155e+06
2465 ns,-1.09745e+06,1.15677e+06
2466 ns,218616,-1.26102e+06
2467 ns,-169992,331179
2468 ns,-1.00406e+06,-852148
2469 ns,385039,2.55453e+06
2470 ns,680568,91258
2471 ns,-1.30949e+06,-1.69569e+06
2472 ns,103048,-19445
2473 ns,415353,-1.64166e+06
2474 ns,854254,1.11965e+06
2475 ns,-40534,-2.16397e+06
2476 ns,-323599,-17474
