Timestamp,Real,Imaginary
31 ns,214220,303219
32 ns,24048,-57225
33 ns,-29422,-6785
34 ns,-20030,-54373
35 ns,8927,6477
36 ns,-20879,-109791
37 ns,-47516,35072
38 ns,-1996,-42634
39 ns,298308,241008
40 ns,69224,-57540
41 ns,-56498,44540
42 ns,85170,60704
43 ns,41968,32820
44 ns,-32142,60470
45 ns,-12732,-10688
46 ns,39374,148926
47 ns,243969,314219
48 ns,-11433,32035
49 ns,44828,-28236
50 ns,-52628,-21174
51 ns,143645,7904
52 ns,-35393,22998
53 ns,52067,756
54 ns,30529,-1070
55 ns,226147,194743
56 ns,36671,-28485
57 ns,-103741,1355
58 ns,60171,-66993
59 ns,-17830,14360
60 ns,63710,-7548
61 ns,63213,-45779
62 ns,32715,52091
63 ns,320812,212079
64 ns,-12146,53221
65 ns,-65860,54445
66 ns,-66054,28679
67 ns,-102237,38145
68 ns,60873,-26659
69 ns,101053,-26364
70 ns,36359,6358
71 ns,245107,349565
72 ns,-74057,-1839
73 ns,-40693,29339
74 ns,-83517,44315
75 ns,-28549,8502
76 ns,-18367,-37410
77 ns,112340,33896
78 ns,-24120,-29936
79 ns,239340,245519
80 ns,-42792,-12853
81 ns,-30398,-85401
82 ns,31722,-25909
83 ns,4374,-45584
84 ns,51538,94858
85 ns,-10124,2408
86 ns,7252,37634
87 ns,273406,308443
88 ns,17574,19833
89 ns,-46821,13136
90 ns,22393,12260
91 ns,76712,25167
92 ns,99024,-111703
93 ns,-13567,28601
94 ns,-19913,-83257
95 ns,245200,269564
96 ns,-53762,-14008
97 ns,-31135,-38001
98 ns,-109919,-11315
99 ns,-82306,-55448
100 ns,-14122,33702
101 ns,101204,-13315
102 ns,-248,-75835
103 ns,209125,295577
104 ns,103977,-65815
105 ns,19729,-1671
106 ns,-33127,64085
107 ns,-51311,21903
108 ns,-59943,-11653
109 ns,-24529,55979
110 ns,17287,128331
111 ns,245936,308682
112 ns,1200,-1084
113 ns,-73199,92555
114 ns,52339,-104073
115 ns,-6653,22978
116 ns,53953,35476
117 ns,26010,22740
118 ns,98150,11454
119 ns,301783,210520
120 ns,-56073,-1594
121 ns,93480,-21089
122 ns,90426,-6553
123 ns,10684,372
124 ns,4724,-72088
125 ns,-51542,-34062
126 ns,-20450,214
127 ns,227080,163838
128 ns,-49220,-70758
129 ns,-41232,42188
130 ns,45812,-41352
131 ns,-20449,-11713
132 ns,-4737,-49493
133 ns,84603,-23330
134 ns,-17913,32268
135 ns,276084,298142
136 ns,64278,17796
137 ns,26276,-36200
138 ns,62798,87686
139 ns,-32126,-53199
140 ns,-30042,34451
141 ns,15503,20289
142 ns,91757,-63053
143 ns,295957,313589
144 ns,-27355,72621
145 ns,-22475,-31579
146 ns,-23459,-43319
147 ns,89141,-62317
148 ns,-4901,57501
149 ns,76170,-89331
150 ns,-2062,-117021
151 ns,208375,275871
152 ns,-34415,-46189
153 ns,66720,8162
154 ns,24456,98132
155 ns,-26028,-34900
156 ns,-46142,72924
157 ns,-93579,31582
158 ns,-17683,77282
159 ns,391259,221549
160 ns,-36887,-92951
161 ns,78624,-50374
162 ns,-2808,15496
163 ns,8048,108183
164 ns,12844,39171
165 ns,-1387,-87293
166 ns,20579,491
167 ns,272731,248139
168 ns,-54581,-100933
169 ns,57305,-181
170 ns,61641,-102425
171 ns,-57410,-7222
172 ns,-5768,-10676
173 ns,33666,28066
174 ns,-14264,25744
175 ns,236118,316786
176 ns,-54190,-24314
177 ns,-18738,23740
178 ns,65254,-620
179 ns,-68012,9174
180 ns,81798,21884
181 ns,25129,84492
182 ns,-20319,-93478
183 ns,298109,181157
184 ns,-60711,-28637
185 ns,76724,-37838
186 ns,60962,-32142
187 ns,2643,-109078
188 ns,17525,60364
189 ns,1449,73417
190 ns,11987,-22819
191 ns,262107,243766
192 ns,-10515,-23480
193 ns,-7829,24458
194 ns,-22083,21348
195 ns,66217,39755
196 ns,-58001,-31181
197 ns,46794,-71198
198 ns,-57578,-102484
199 ns,338273,272004
200 ns,22965,41214
201 ns,-73682,69687
202 ns,-32948,-96825
203 ns,85316,257
204 ns,121750,-28679
205 ns,-14709,-7865
206 ns,48579,25111
207 ns,181366,299376
208 ns,-22252,-31362
209 ns,97250,-38638
210 ns,8028,13500
211 ns,180130,-69162
212 ns,41286,101542
213 ns,65137,-1149
214 ns,-27505,66389
215 ns,267304,173360
216 ns,23108,-44272
217 ns,18614,40266
218 ns,-26406,-17202
219 ns,-49770,-32906
220 ns,48008,26968
221 ns,-110863,-51526
222 ns,17117,-86992
223 ns,278605,318060
224 ns,66315,73016
225 ns,-72756,41431
226 ns,58336,7469
227 ns,27680,26231
228 ns,-61286,33215
229 ns,-81335,43358
230 ns,-76735,-51900
231 ns,262846,163123
232 ns,45432,-7943
233 ns,-96006,-49557
234 ns,-71032,36409
235 ns,42697,36643
236 ns,30623,20951
237 ns,42736,87125
238 ns,-86104,-45639
239 ns,243126,166496
240 ns,-19882,-97616
241 ns,82416,40806
242 ns,-39112,-63230
243 ns,3504,4521
244 ns,11090,-18031
245 ns,4460,-24590
246 ns,-40394,34940
247 ns,250303,358300
248 ns,120413,-9430
249 ns,-15893,31682
250 ns,41561,68268
251 ns,80277,5422
252 ns,54943,-35680
253 ns,-59180,16486
254 ns,-33872,23040
255 ns,181418,271680
256 ns,23458,76636
257 ns,-36226,3932
258 ns,-76974,109964
259 ns,-110201,15483
260 ns,67985,20777
261 ns,14470,-19275
262 ns,72878,-74373
263 ns,234071,261535
264 ns,-13225,-45061
265 ns,-2719,-20245
266 ns,-17479,37183
267 ns,-7949,84247
268 ns,76729,-74287
269 ns,24096,-8527
270 ns,71292,-3005
271 ns,228037,258511
272 ns,7443,-125485
273 ns,73926,-14930
274 ns,97618,15020
275 ns,25012,50580
276 ns,74616,21734
277 ns,-18617,41635
278 ns,32997,-26825
279 ns,313194,250325
280 ns,-99338,-25597
281 ns,-15059,-39242
282 ns,-7205,20794
283 ns,104970,18389
284 ns,14326,-3145
285 ns,-35024,45279
286 ns,-80464,-28035
